t,p_t_x,p_t_y,h_t,v_t,e_t,|A_t|,|M_t|,Pi
199,4.72,-112.24,5.03,2.00,0.9957,19,0,None
200,4.67,-112.11,5.03,2.00,0.9957,19,0,None
201,4.67,-112.11,5.03,2.00,0.9957,19,0,None
202,4.67,-112.11,5.03,2.00,0.9957,19,0,None
203,4.67,-112.11,5.03,2.00,0.9957,19,0,None
204,4.62,-111.97,5.03,2.00,0.9957,19,0,None
205,4.62,-111.97,5.03,2.00,0.9957,19,0,None
206,4.62,-111.97,5.03,2.00,0.9957,19,0,None
207,4.62,-111.97,5.03,2.00,0.9957,19,0,None
208,4.56,-111.84,5.03,2.00,0.9956,19,0,None
209,4.56,-111.84,5.03,2.00,0.9956,19,0,None
210,4.56,-111.84,5.03,2.00,0.9956,19,0,None
211,4.51,-111.71,5.03,2.00,0.9956,19,0,None
212,4.51,-111.71,5.03,2.00,0.9956,19,0,None
213,4.51,-111.71,5.03,2.00,0.9956,19,0,None
214,4.47,-111.62,5.03,2.00,0.9956,19,0,None
215,4.47,-111.62,5.03,2.00,0.9956,19,0,None
216,4.47,-111.62,5.03,2.00,0.9956,19,0,None
217,4.42,-111.49,5.03,2.00,0.9955,19,0,None
218,4.42,-111.49,5.03,2.00,0.9955,19,0,None
219,4.42,-111.49,5.03,2.00,0.9955,19,0,None
220,4.42,-111.49,5.03,2.00,0.9955,19,0,None
221,4.42,-111.49,5.03,2.00,0.9955,19,0,None
222,4.35,-111.31,5.03,2.00,0.9955,19,0,None
223,4.35,-111.31,5.03,2.00,0.9955,19,0,None
224,4.32,-111.23,5.03,2.00,0.9954,19,0,None
225,4.32,-111.23,5.03,2.00,0.9954,19,0,None
226,4.29,-111.17,5.03,2.00,0.9954,19,0,None
227,4.29,-111.17,5.03,2.00,0.9954,19,0,None
228,4.29,-111.17,5.03,2.00,0.9954,19,0,None
229,4.29,-111.17,5.03,2.00,0.9954,19,0,None
230,4.29,-111.17,5.03,2.00,0.9954,19,0,None
231,4.21,-110.96,5.03,2.00,0.9954,19,0,None
232,4.21,-110.96,5.03,2.00,0.9954,19,0,None
233,4.21,-110.96,5.03,2.00,0.9954,19,0,None
234,4.21,-110.96,5.03,2.00,0.9954,19,0,None
235,4.21,-110.96,5.03,2.00,0.9954,19,0,None
236,4.13,-110.79,5.03,2.00,0.9953,19,0,None
237,4.13,-110.79,5.03,2.00,0.9953,19,0,None
238,4.13,-110.79,5.03,2.00,0.9953,19,0,None
239,4.13,-110.79,5.03,2.00,0.9953,19,0,None
240,4.08,-110.66,5.03,2.00,0.9953,19,0,None
241,4.08,-110.66,5.03,2.00,0.9953,19,0,None
242,4.08,-110.66,5.03,2.00,0.9953,19,0,None
243,4.03,-110.52,5.04,2.00,0.9952,19,0,None
244,4.03,-110.52,5.04,2.00,0.9952,19,0,None
245,4.03,-110.52,5.04,2.00,0.9952,19,0,None
246,4.03,-110.52,5.04,2.00,0.9952,19,0,None
247,3.98,-110.39,5.04,2.00,0.9952,19,0,None
248,3.98,-110.39,5.04,2.00,0.9952,19,0,None
249,3.98,-110.39,5.04,2.00,0.9952,19,0,None
250,3.92,-110.26,5.04,2.00,0.9952,19,0,None
251,3.92,-110.26,5.04,2.00,0.9952,19,0,None
252,3.92,-110.26,5.04,2.00,0.9952,19,0,None
253,3.92,-110.26,5.04,2.00,0.9952,19,0,None
254,3.87,-110.13,5.04,2.00,0.9951,19,0,None
255,3.87,-110.13,5.04,2.00,0.9951,19,0,None
256,3.87,-110.13,5.04,2.00,0.9951,19,0,None
257,3.82,-110.00,5.04,2.00,0.9951,19,0,None
