TimeStep,PosX,PosZ,Altitude,Velocity,Battery,TrafficAgentsCount,CurrentPolicy
160,5.29,-113.64,5.03,2.00,0.9962,19,None
161,5.29,-113.64,5.03,2.00,0.9962,19,None
162,5.24,-113.52,5.03,2.00,0.9962,19,None
163,5.24,-113.52,5.03,2.00,0.9962,19,None
164,5.24,-113.52,5.03,2.00,0.9962,19,None
165,5.19,-113.39,5.03,2.00,0.9962,19,None
166,5.19,-113.39,5.03,2.00,0.9962,19,None
167,5.19,-113.39,5.03,2.00,0.9962,19,None
168,5.19,-113.39,5.03,2.00,0.9962,19,None
169,5.14,-113.27,5.03,2.00,0.9961,19,None
170,5.14,-113.27,5.03,2.00,0.9961,19,None
171,5.14,-113.27,5.03,2.00,0.9961,19,None
172,5.09,-113.15,5.03,2.00,0.9961,19,None
173,5.09,-113.15,5.03,2.00,0.9961,19,None
174,5.09,-113.15,5.03,2.00,0.9961,19,None
175,5.04,-113.03,5.03,2.00,0.9960,19,None
176,5.04,-113.03,5.03,2.00,0.9960,19,None
177,5.04,-113.03,5.03,2.00,0.9960,19,None
178,4.99,-112.91,5.03,2.00,0.9960,19,None
179,4.99,-112.91,5.03,2.00,0.9960,19,None
180,4.99,-112.91,5.03,2.00,0.9960,19,None
181,4.99,-112.91,5.03,2.00,0.9960,19,None
182,4.94,-112.78,5.03,2.00,0.9960,19,None
183,4.94,-112.78,5.03,2.00,0.9960,19,None
184,4.94,-112.78,5.03,2.00,0.9960,19,None
185,4.89,-112.66,5.03,2.00,0.9959,19,None
186,4.89,-112.66,5.03,2.00,0.9959,19,None
187,4.89,-112.66,5.03,2.00,0.9959,19,None
188,4.84,-112.54,5.03,2.00,0.9959,19,None
189,4.84,-112.54,5.03,2.00,0.9959,19,None
190,4.84,-112.54,5.03,2.00,0.9959,19,None
191,4.84,-112.54,5.03,2.00,0.9959,19,None
192,4.79,-112.42,5.03,2.00,0.9959,19,None
193,4.79,-112.42,5.03,2.00,0.9959,19,None
194,4.79,-112.42,5.03,2.00,0.9959,19,None
195,4.74,-112.29,5.03,2.00,0.9958,19,None
196,4.74,-112.29,5.03,2.00,0.9958,19,None
197,4.74,-112.29,5.03,2.00,0.9958,19,None
198,4.70,-112.17,5.03,2.00,0.9958,19,None
199,4.70,-112.17,5.03,2.00,0.9958,19,None
200,4.70,-112.17,5.03,2.00,0.9958,19,None
201,4.70,-112.17,5.03,2.00,0.9958,19,None
202,4.65,-112.05,5.03,2.00,0.9958,19,None
203,4.65,-112.05,5.03,2.00,0.9958,19,None
204,4.65,-112.05,5.03,2.00,0.9958,19,None
205,4.60,-111.93,5.03,2.00,0.9957,19,None
206,4.60,-111.93,5.03,2.00,0.9957,19,None
207,4.60,-111.93,5.03,2.00,0.9957,19,None
208,4.60,-111.93,5.03,2.00,0.9957,19,None
209,4.60,-111.93,5.03,2.00,0.9957,19,None
210,4.52,-111.74,5.03,2.00,0.9957,19,None
211,4.52,-111.74,5.03,2.00,0.9957,19,None
212,4.52,-111.74,5.03,2.00,0.9957,19,None
213,4.47,-111.61,5.03,2.00,0.9956,19,None
214,4.47,-111.61,5.03,2.00,0.9956,19,None
215,4.45,-111.55,5.03,2.00,0.9956,19,None
216,4.45,-111.55,5.03,2.00,0.9956,19,None
217,4.45,-111.55,5.03,2.00,0.9956,19,None
218,4.40,-111.45,5.03,2.00,0.9956,19,None
219,4.40,-111.45,5.03,2.00,0.9956,19,None
220,4.40,-111.45,5.03,2.00,0.9956,19,None
221,4.35,-111.33,5.03,2.00,0.9955,19,None
222,4.35,-111.33,5.03,2.00,0.9955,19,None
223,4.35,-111.33,5.03,2.00,0.9955,19,None
224,4.30,-111.20,5.03,2.00,0.9955,19,None
225,4.30,-111.20,5.03,2.00,0.9955,19,None
226,4.30,-111.20,5.03,2.00,0.9955,19,None
227,4.30,-111.20,5.03,2.00,0.9955,19,None
228,4.26,-111.08,5.03,2.00,0.9955,19,None
229,4.26,-111.08,5.03,2.00,0.9955,19,None
230,4.26,-111.08,5.03,2.00,0.9955,19,None
231,4.21,-110.96,5.03,2.00,0.9954,19,None
232,4.21,-110.96,5.03,2.00,0.9954,19,None
233,4.21,-110.96,5.03,2.00,0.9954,19,None
234,4.16,-110.84,5.03,2.00,0.9954,19,None
235,4.16,-110.84,5.03,2.00,0.9954,19,None
236,4.16,-110.84,5.03,2.00,0.9954,19,None
237,4.11,-110.72,5.03,2.00,0.9954,19,None
238,4.11,-110.72,5.03,2.00,0.9954,19,None
239,4.11,-110.72,5.03,2.00,0.9954,19,None
240,4.11,-110.72,5.03,2.00,0.9954,19,None
241,4.06,-110.60,5.03,2.00,0.9953,19,None
242,4.06,-110.60,5.03,2.00,0.9953,19,None
243,4.06,-110.60,5.03,2.00,0.9953,19,None
244,4.01,-110.48,5.04,2.00,0.9953,19,None
245,4.01,-110.48,5.04,2.00,0.9953,19,None
246,4.01,-110.48,5.04,2.00,0.9953,19,None
247,3.96,-110.36,5.04,2.00,0.9952,19,None
248,3.96,-110.36,5.04,2.00,0.9952,19,None
249,3.96,-110.36,5.04,2.00,0.9952,19,None
250,3.96,-110.36,5.04,2.00,0.9952,19,None
251,3.91,-110.23,5.04,2.00,0.9952,19,None
252,3.91,-110.23,5.04,2.00,0.9952,19,None
253,3.91,-110.23,5.04,2.00,0.9952,19,None
254,3.86,-110.11,5.04,2.00,0.9952,19,None
255,3.86,-110.11,5.04,2.00,0.9952,19,None
256,3.86,-110.11,5.04,2.00,0.9952,19,None
257,3.81,-109.99,5.04,2.00,0.9951,19,None
258,3.81,-109.99,5.04,2.00,0.9951,19,None
259,3.81,-109.99,5.04,2.00,0.9951,19,None
260,3.77,-109.87,5.04,2.00,0.9951,19,None
261,3.77,-109.87,5.04,2.00,0.9951,19,None
262,3.77,-109.87,5.04,2.00,0.9951,19,None
263,3.77,-109.87,5.04,2.00,0.9951,19,None
264,3.72,-109.75,5.04,2.00,0.9951,19,None
265,3.72,-109.75,5.04,2.00,0.9951,19,None
266,3.72,-109.75,5.04,2.00,0.9951,19,None
267,3.67,-109.63,5.04,2.00,0.9950,19,None
268,3.67,-109.63,5.04,2.00,0.9950,19,None
269,3.67,-109.63,5.04,2.00,0.9950,19,None
270,3.62,-109.51,5.04,2.00,0.9950,19,None
271,3.62,-109.51,5.04,2.00,0.9950,19,None
272,3.62,-109.51,5.04,2.00,0.9950,19,None
273,3.57,-109.39,5.04,2.00,0.9950,19,None
274,3.57,-109.39,5.04,2.00,0.9950,19,None
275,3.57,-109.39,5.04,2.00,0.9950,19,None
276,3.57,-109.39,5.04,2.00,0.9950,19,None
277,3.52,-109.27,5.04,2.00,0.9949,19,None
278,3.52,-109.27,5.04,2.00,0.9949,19,None
279,3.52,-109.27,5.04,2.00,0.9949,19,None
280,3.47,-109.15,5.04,2.00,0.9949,19,None
281,3.47,-109.15,5.04,2.00,0.9949,19,None
282,3.47,-109.15,5.04,2.00,0.9949,19,None
283,3.42,-109.03,5.04,2.00,0.9948,19,None
284,3.42,-109.03,5.04,2.00,0.9948,19,None
285,3.42,-109.03,5.04,2.00,0.9948,19,None
286,3.38,-108.91,5.04,2.00,0.9948,19,None
287,3.38,-108.91,5.04,2.00,0.9948,19,None
288,3.38,-108.91,5.04,2.00,0.9948,19,None
289,3.38,-108.91,5.04,2.00,0.9948,19,None
290,3.33,-108.79,5.04,2.00,0.9948,19,None
291,3.33,-108.79,5.04,2.00,0.9948,19,None
292,3.33,-108.79,5.04,2.00,0.9948,19,None
293,3.28,-108.66,5.04,2.00,0.9947,19,None
294,3.28,-108.66,5.04,2.00,0.9947,19,None
295,3.28,-108.66,5.04,2.00,0.9947,19,None
296,3.23,-108.54,5.04,2.00,0.9947,19,None
297,3.23,-108.54,5.04,2.00,0.9947,19,None
298,3.23,-108.54,5.04,2.00,0.9947,19,None
299,3.18,-108.42,5.04,2.00,0.9947,19,None
300,3.18,-108.42,5.04,2.00,0.9947,19,None
301,3.18,-108.42,5.04,2.00,0.9947,19,None
302,3.18,-108.42,5.04,2.00,0.9947,19,None
303,3.13,-108.30,5.04,2.00,0.9946,19,None
304,3.13,-108.30,5.04,2.00,0.9946,19,None
305,3.13,-108.30,5.04,2.00,0.9946,19,None
306,3.08,-108.18,5.04,2.00,0.9946,19,None
307,3.08,-108.18,5.04,2.00,0.9946,19,None
308,3.08,-108.18,5.04,2.00,0.9946,19,None
309,3.03,-108.06,5.04,2.00,0.9946,19,None
310,3.03,-108.06,5.04,2.00,0.9946,19,None
311,3.03,-108.06,5.04,2.00,0.9946,19,None
312,2.98,-107.94,5.04,2.00,0.9945,19,None
313,2.98,-107.94,5.04,2.00,0.9945,19,None
314,2.98,-107.94,5.04,2.00,0.9945,19,None
315,2.98,-107.94,5.04,2.00,0.9945,19,None
316,2.93,-107.82,5.04,2.00,0.9945,19,None
317,2.93,-107.82,5.04,2.00,0.9945,19,None
318,2.93,-107.82,5.04,2.00,0.9945,19,None
319,2.89,-107.70,5.05,2.01,0.9944,19,None
320,2.89,-107.70,5.05,2.01,0.9944,19,None
321,2.89,-107.70,5.05,2.01,0.9944,19,None
322,2.84,-107.57,5.08,2.05,0.9944,19,None
323,2.84,-107.57,5.08,2.05,0.9944,19,None
324,2.84,-107.57,5.08,2.05,0.9944,19,None
325,2.84,-107.57,5.08,2.05,0.9944,19,None
326,2.79,-107.45,5.11,2.05,0.9944,19,None
327,2.79,-107.45,5.11,2.05,0.9944,19,None
328,2.79,-107.45,5.11,2.05,0.9944,19,None
329,2.74,-107.33,5.14,2.05,0.9943,19,None
330,2.74,-107.33,5.14,2.05,0.9943,19,None
331,2.74,-107.33,5.14,2.05,0.9943,19,None
332,2.69,-107.21,5.17,2.05,0.9943,19,None
333,2.69,-107.21,5.17,2.05,0.9943,19,None
334,2.69,-107.21,5.17,2.05,0.9943,19,None
335,2.69,-107.21,5.17,2.05,0.9943,19,None
336,2.69,-107.21,5.17,2.05,0.9943,19,None
337,2.61,-107.01,5.21,2.05,0.9942,19,None
338,2.61,-107.01,5.21,2.05,0.9942,19,None
339,2.61,-107.01,5.21,2.05,0.9942,19,None
340,2.61,-107.01,5.21,2.05,0.9942,19,None
341,2.56,-106.89,5.24,2.05,0.9942,19,None
342,2.53,-106.82,5.26,2.05,0.9942,19,None
343,2.53,-106.82,5.26,2.05,0.9942,19,None
344,2.53,-106.82,5.26,2.05,0.9942,19,None
345,2.49,-106.72,5.28,2.03,0.9942,19,None
346,2.49,-106.72,5.28,2.03,0.9942,19,None
347,2.49,-106.72,5.28,2.03,0.9942,19,None
348,2.49,-106.72,5.28,2.03,0.9942,19,None
349,2.44,-106.59,5.28,2.00,0.9941,19,None
350,2.44,-106.59,5.28,2.00,0.9941,19,None
351,2.44,-106.59,5.28,2.00,0.9941,19,None
352,2.39,-106.47,5.27,2.00,0.9941,19,None
353,2.39,-106.47,5.27,2.00,0.9941,19,None
354,2.39,-106.47,5.27,2.00,0.9941,19,None
355,2.34,-106.35,5.27,2.00,0.9940,19,None
356,2.34,-106.35,5.27,2.00,0.9940,19,None
357,2.34,-106.35,5.27,2.00,0.9940,19,None
358,2.34,-106.35,5.27,2.00,0.9940,19,None
359,2.34,-106.35,5.27,2.00,0.9940,19,None
360,2.34,-106.35,5.27,2.00,0.9940,19,None
361,2.34,-106.35,5.27,2.00,0.9940,19,None
362,2.24,-106.11,5.27,2.00,0.9940,19,None
363,2.24,-106.11,5.27,2.00,0.9940,19,None
364,2.24,-106.11,5.27,2.00,0.9940,19,None
365,2.19,-105.98,5.27,2.00,0.9939,19,None
366,2.19,-105.98,5.27,2.00,0.9939,19,None
367,2.16,-105.91,5.27,2.00,0.9939,19,None
368,2.16,-105.91,5.27,2.00,0.9939,19,None
369,2.16,-105.91,5.27,2.00,0.9939,19,None
370,2.16,-105.91,5.27,2.00,0.9939,19,None
371,2.11,-105.78,5.27,2.00,0.9939,19,None
372,2.11,-105.78,5.27,2.00,0.9939,19,None
373,2.11,-105.78,5.27,2.00,0.9939,19,None
374,2.06,-105.66,5.27,2.00,0.9938,19,None
375,2.06,-105.66,5.27,2.00,0.9938,19,None
376,2.06,-105.66,5.27,2.00,0.9938,19,None
377,2.01,-105.53,5.27,2.00,0.9938,19,None
378,2.01,-105.53,5.27,2.00,0.9938,19,None
379,1.99,-105.47,5.27,2.00,0.9938,19,None
380,1.99,-105.47,5.27,2.00,0.9938,19,None
381,1.99,-105.47,5.27,2.00,0.9938,19,None
382,1.99,-105.47,5.27,2.00,0.9938,19,None
383,1.93,-105.33,5.26,2.00,0.9937,19,None
384,1.93,-105.33,5.26,2.00,0.9937,19,None
385,1.93,-105.33,5.26,2.00,0.9937,19,None
386,1.93,-105.33,5.26,2.00,0.9937,19,None
387,1.86,-105.16,5.26,2.00,0.9937,19,None
388,1.86,-105.16,5.26,2.00,0.9937,19,None
389,1.86,-105.16,5.26,2.00,0.9937,19,None
390,1.86,-105.16,5.26,2.00,0.9937,19,None
391,1.86,-105.16,5.26,2.00,0.9937,19,None
392,1.80,-105.00,5.26,2.00,0.9936,19,None
393,1.80,-105.00,5.26,2.00,0.9936,19,None
394,1.76,-104.92,5.26,2.00,0.9936,19,None
395,1.76,-104.92,5.26,2.00,0.9936,19,None
396,1.74,-104.86,5.26,2.00,0.9936,19,None
397,1.74,-104.86,5.26,2.00,0.9936,19,None
398,1.74,-104.86,5.26,2.00,0.9936,19,None
399,1.69,-104.75,5.26,2.00,0.9936,19,None
400,1.69,-104.75,5.26,2.00,0.9936,19,None
401,1.69,-104.75,5.26,2.00,0.9936,19,None
402,1.69,-104.75,5.26,2.00,0.9936,19,None
403,1.69,-104.75,5.26,2.00,0.9936,19,None
404,1.61,-104.55,5.26,2.00,0.9935,19,None
405,1.61,-104.55,5.26,2.00,0.9935,19,None
406,1.61,-104.55,5.26,2.00,0.9935,19,None
407,1.61,-104.55,5.26,2.00,0.9935,19,None
408,1.54,-104.38,5.26,2.00,0.9935,19,None
409,1.54,-104.38,5.26,2.00,0.9935,19,None
410,1.54,-104.38,5.26,2.00,0.9935,19,None
411,1.54,-104.38,5.26,2.00,0.9935,19,None
412,1.49,-104.25,5.26,2.00,0.9934,19,None
413,1.49,-104.25,5.26,2.00,0.9934,19,None
414,1.49,-104.25,5.26,2.00,0.9934,19,None
415,1.44,-104.13,5.26,2.00,0.9934,19,None
416,1.44,-104.13,5.26,2.00,0.9934,19,None
417,1.41,-104.05,5.26,2.00,0.9934,19,None
418,1.41,-104.05,5.26,2.00,0.9934,19,None
419,1.39,-103.99,5.26,2.00,0.9933,19,None
420,1.39,-103.99,5.26,2.00,0.9933,19,None
421,1.39,-103.99,5.26,2.00,0.9933,19,None
422,1.34,-103.88,5.27,2.00,0.9933,19,None
423,1.34,-103.88,5.27,2.00,0.9933,19,None
424,1.34,-103.88,5.27,2.00,0.9933,19,None
425,1.34,-103.88,5.27,2.00,0.9933,19,None
426,1.34,-103.88,5.27,2.00,0.9933,19,None
427,1.26,-103.68,5.27,2.00,0.9932,19,None
428,1.26,-103.68,5.27,2.00,0.9932,19,None
429,1.26,-103.68,5.27,2.00,0.9932,19,None
430,1.26,-103.68,5.27,2.00,0.9932,19,None
431,1.21,-103.55,5.27,2.00,0.9932,19,None
432,1.19,-103.49,5.27,2.00,0.9932,19,None
433,1.19,-103.49,5.27,2.00,0.9932,19,None
434,1.19,-103.49,5.27,2.00,0.9932,19,None
435,1.19,-103.49,5.27,2.00,0.9932,19,None
436,1.19,-103.49,5.27,2.00,0.9932,19,None
437,1.11,-103.31,5.28,2.00,0.9931,19,None
438,1.11,-103.31,5.28,2.00,0.9931,19,None
439,1.11,-103.31,5.28,2.00,0.9931,19,None
440,1.11,-103.31,5.28,2.00,0.9931,19,None
441,1.06,-103.18,5.28,2.00,0.9931,19,None
442,1.04,-103.12,5.28,2.00,0.9931,19,None
443,1.04,-103.12,5.28,2.00,0.9931,19,None
444,1.04,-103.12,5.28,2.00,0.9931,19,None
445,0.99,-103.01,5.28,2.00,0.9930,19,None
446,0.99,-103.01,5.28,2.00,0.9930,19,None
447,0.99,-103.01,5.28,2.00,0.9930,19,None
448,0.99,-103.01,5.28,2.00,0.9930,19,None
449,0.99,-103.01,5.28,2.00,0.9930,19,None
450,0.99,-103.01,5.28,2.00,0.9930,19,None
451,0.91,-102.82,5.28,2.00,0.9930,19,None
452,0.91,-102.82,5.28,2.00,0.9930,19,None
453,0.91,-102.82,5.28,2.00,0.9930,19,None
454,0.86,-102.69,5.28,2.00,0.9929,19,None
455,0.86,-102.69,5.28,2.00,0.9929,19,None
456,0.84,-102.63,5.28,2.00,0.9929,19,None
457,0.84,-102.63,5.28,2.00,0.9929,19,None
458,0.84,-102.63,5.28,2.00,0.9929,19,None
459,0.84,-102.63,5.28,2.00,0.9929,19,None
460,0.76,-102.45,5.28,2.00,0.9929,19,None
461,0.76,-102.45,5.28,2.00,0.9929,19,None
462,0.76,-102.45,5.28,2.00,0.9929,19,None
463,0.76,-102.45,5.28,2.00,0.9929,19,None
464,0.71,-102.32,5.28,2.00,0.9928,19,None
465,0.71,-102.32,5.28,2.00,0.9928,19,None
466,0.69,-102.26,5.28,2.00,0.9928,19,None
467,0.69,-102.26,5.28,2.00,0.9928,19,None
468,0.64,-102.15,5.28,2.00,0.9928,19,None
469,0.64,-102.15,5.28,2.00,0.9928,19,None
470,0.64,-102.15,5.28,2.00,0.9928,19,None
471,0.64,-102.15,5.28,2.00,0.9928,19,None
472,0.64,-102.15,5.28,2.00,0.9928,19,None
473,0.64,-102.15,5.28,2.00,0.9928,19,None
474,0.57,-101.96,5.28,2.00,0.9927,19,None
475,0.57,-101.96,5.28,2.00,0.9927,19,None
476,0.57,-101.96,5.28,2.00,0.9927,19,None
477,0.51,-101.83,5.28,2.00,0.9927,19,None
478,0.51,-101.83,5.28,2.00,0.9927,19,None
479,0.49,-101.77,5.28,2.00,0.9927,19,None
480,0.49,-101.77,5.28,2.00,0.9927,19,None
481,0.49,-101.77,5.28,2.00,0.9927,19,None
482,0.49,-101.77,5.28,2.00,0.9927,19,None
483,0.49,-101.77,5.28,2.00,0.9927,19,None
484,0.42,-101.59,5.28,2.00,0.9926,19,None
485,0.42,-101.59,5.28,2.00,0.9926,19,None
486,0.42,-101.59,5.28,2.00,0.9926,19,None
